time,P,G(i),H_sun,T2m,WS10m,Int
20160112:2309,0.0,0.0,0.0,10.21,1.54,0.0
20160113:0009,0.0,0.0,0.0,9.72,1.19,0.0
20160113:0109,0.0,0.0,0.0,9.31,0.99,0.0
20160113:0209,0.0,0.0,0.0,8.91,0.8,0.0
20160113:0309,0.0,0.0,0.0,8.5,0.61,0.0
20160113:0409,0.0,0.0,0.0,8.59,0.84,0.0
20160113:0509,0.0,0.0,0.0,8.68,1.08,0.0
20160113:0609,81.64,336.99,12.85,8.76,1.31,0.0
20160113:0709,147.17,604.85,22.88,11.32,1.28,0.0
20160113:0809,184.57,780.23,31.08,13.87,1.26,0.0
20160113:0909,208.07,904.95,36.58,16.43,1.23,0.0
20160113:1009,218.65,955.75,38.51,17.8,1.73,0.0
20160113:1109,208.43,904.09,36.47,19.18,2.24,0.0
20160113:1209,181.68,777.02,30.88,20.56,2.74,0.0
20160113:1309,134.67,569.76,22.61,20.33,2.66,0.0
20160113:1409,54.05,241.7,12.54,20.1,2.57,0.0
20160113:1509,0.0,0.0,0.0,19.87,2.48,0.0
20160113:1609,0.0,0.0,0.0,18.39,2.29,0.0
20160113:1709,0.0,0.0,0.0,16.92,2.09,0.0
20160113:1809,0.0,0.0,0.0,15.45,1.89,0.0
20160113:1909,0.0,0.0,0.0,14.13,2.2,0.0
20160113:2009,0.0,0.0,0.0,12.81,2.51,0.0
20160113:2109,0.0,0.0,0.0,11.49,2.81,0.0
20160113:2209,0.0,0.0,0.0,11.01,3.04,0.0
20160113:2309,0.0,0.0,0.0,10.53,3.26,0.0
20160114:0009,0.0,0.0,0.0,10.05,3.49,0.0
20160114:0109,0.0,0.0,0.0,9.7,3.35,0.0
20160114:0209,0.0,0.0,0.0,9.35,3.21,0.0
20160114:0309,0.0,0.0,0.0,9.0,3.08,0.0
20160114:0409,0.0,0.0,0.0,9.32,3.04,0.0
20160114:0509,0.0,0.0,0.0,9.63,3.01,0.0
20160114:0609,75.71,312.49,12.9,9.94,2.98,0.0
20160114:0709,149.98,604.72,22.96,12.06,3.82,0.0
20160114:0809,191.84,782.97,31.19,14.19,4.65,0.0
20160114:0909,219.09,905.95,36.73,16.31,5.49,0.0
20160114:1009,223.21,928.97,38.69,16.91,5.64,0.0
20160114:1109,191.73,795.63,36.66,17.52,5.79,0.0
20160114:1209,182.36,750.04,31.07,18.13,5.94,0.0
20160114:1309,107.71,442.29,22.8,17.53,5.87,0.0
20160114:1409,13.0,69.67,12.71,16.93,5.79,0.0
20160114:1509,0.0,0.0,0.0,16.33,5.71,0.0
20160114:1609,0.0,0.0,0.0,15.42,5.27,0.0
20160114:1709,0.0,0.0,0.0,14.51,4.84,0.0
20160114:1809,0.0,0.0,0.0,13.61,4.4,0.0
20160114:1909,0.0,0.0,0.0,13.05,4.09,0.0
20160114:2009,0.0,0.0,0.0,12.5,3.78,0.0
20160114:2109,0.0,0.0,0.0,11.94,3.48,0.0
20160114:2209,0.0,0.0,0.0,11.7,3.3,0.0
20160114:2309,0.0,0.0,0.0,11.46,3.13,0.0
20160115:0009,0.0,0.0,0.0,11.22,2.95,0.0
20160115:0109,0.0,0.0,0.0,11.34,2.88,0.0
20160115:0209,0.0,0.0,0.0,11.46,2.81,0.0
20160115:0309,0.0,0.0,0.0,11.58,2.74,0.0
20160115:0409,0.0,0.0,0.0,11.76,2.57,0.0
20160115:0509,0.0,0.0,0.0,11.94,2.4,0.0
20160115:0609,81.1,338.48,12.95,12.12,2.22,0.0
20160115:0709,147.49,603.25,23.04,12.61,2.28,0.0
20160115:0809,187.6,777.68,31.3,13.1,2.33,0.0
20160115:0909,212.53,893.79,36.88,13.59,2.39,0.0
20160115:1009,212.7,896.11,38.87,14.13,2.52,0.0
20160115:1109,208.81,879.43,36.86,14.67,2.65,0.0
20160115:1209,184.18,766.37,31.27,15.21,2.79,0.0
20160115:1309,139.39,574.37,22.99,15.1,2.93,0.0
20160115:1409,60.23,260.09,12.89,14.99,3.07,0.0
20160115:1509,0.0,0.0,0.0,14.89,3.21,0.0
20160115:1609,0.0,0.0,0.0,13.96,3.09,0.0
20160115:1709,0.0,0.0,0.0,13.03,2.97,0.0
20160115:1809,0.0,0.0,0.0,12.11,2.86,0.0
20160115:1909,0.0,0.0,0.0,11.51,2.73,0.0
20160115:2009,0.0,0.0,0.0,10.91,2.6,0.0
20160115:2109,0.0,0.0,0.0,10.31,2.47,0.0
20160115:2209,0.0,0.0,0.0,9.95,2.39,0.0
20160115:2309,0.0,0.0,0.0,9.59,2.3,0.0
20160116:0009,0.0,0.0,0.0,9.23,2.22,0.0
20160116:0109,0.0,0.0,0.0,9.25,2.25,0.0
20160116:0209,0.0,0.0,0.0,9.27,2.29,0.0
20160116:0309,0.0,0.0,0.0,9.29,2.32,0.0
20160116:0409,0.0,0.0,0.0,9.51,2.27,0.0
20160116:0509,0.0,0.0,0.0,9.73,2.23,0.0
20160116:0609,78.84,326.19,13.01,9.94,2.18,0.0
20160116:0709,146.25,595.28,23.12,11.46,2.19,0.0
20160116:0809,187.78,779.79,31.42,12.97,2.2,0.0
20160116:0909,213.07,903.7,37.04,14.49,2.21,0.0
20160116:1009,218.32,940.23,39.05,15.19,1.76,0.0
20160116:1109,208.22,902.68,37.06,15.9,1.31,0.0
20160116:1209,185.57,802.15,31.47,16.6,0.86,0.0
20160116:1309,135.8,575.29,23.18,16.58,0.79,0.0
20160116:1409,56.46,248.96,13.08,16.55,0.72,0.0
20160116:1509,0.0,0.0,0.0,16.53,0.65,0.0
20160116:1609,0.0,0.0,0.0,15.93,0.5,0.0
20160116:1709,0.0,0.0,0.0,15.33,0.34,0.0
20160116:1809,0.0,0.0,0.0,14.73,0.19,0.0
20160116:1909,0.0,0.0,0.0,13.33,0.64,0.0
20160116:2009,0.0,0.0,0.0,11.93,1.09,0.0
20160116:2109,0.0,0.0,0.0,10.53,1.53,0.0
20160116:2209,0.0,0.0,0.0,9.83,1.9,0.0
20160116:2309,0.0,0.0,0.0,9.12,2.27,0.0
20160117:0009,0.0,0.0,0.0,8.42,2.63,0.0
20160117:0109,0.0,0.0,0.0,8.2,2.94,0.0
20160117:0209,0.0,0.0,0.0,7.98,3.24,0.0
20160117:0309,0.0,0.0,0.0,7.76,3.54,0.0
20160117:0409,0.0,0.0,0.0,7.98,3.71,0.0
20160117:0509,0.0,0.0,0.0,8.2,3.89,0.0
20160117:0609,80.53,328.25,13.07,8.41,4.06,0.0
20160117:0709,150.52,599.4,23.21,10.9,4.98,0.0
20160117:0809,191.84,773.09,31.55,13.4,5.91,0.0
20160117:0909,220.81,903.26,37.2,15.89,6.84,0.0
20160117:1009,231.86,956.59,39.25,17.3,7.29,0.0
20160117:1109,219.13,905.89,37.27,18.72,7.73,0.0
20160117:1209,189.14,778.41,31.67,20.14,8.18,0.0
20160117:1309,137.47,565.31,23.38,20.04,8.11,0.0
20160117:1409,56.08,246.43,13.26,19.93,8.05,0.0
20160117:1509,0.0,0.0,0.0,19.83,7.99,0.0
20160117:1609,0.0,0.0,0.0,18.73,7.74,0.0
20160117:1709,0.0,0.0,0.0,17.63,7.5,0.0
20160117:1809,0.0,0.0,0.0,16.53,7.26,0.0
20160117:1909,0.0,0.0,0.0,15.58,7.74,0.0
20160117:2009,0.0,0.0,0.0,14.63,8.22,0.0
20160117:2109,0.0,0.0,0.0,13.68,8.7,0.0
20160117:2209,0.0,0.0,0.0,12.8,8.59,0.0
20160117:2309,0.0,0.0,0.0,11.91,8.47,0.0
20160118:0009,0.0,0.0,0.0,11.03,8.36,0.0
20160118:0109,0.0,0.0,0.0,10.23,8.25,0.0
20160118:0209,0.0,0.0,0.0,9.44,8.15,0.0
20160118:0309,0.0,0.0,0.0,8.64,8.04,0.0
20160118:0409,0.0,0.0,0.0,8.58,8.1,0.0
20160118:0509,0.0,0.0,0.0,8.52,8.15,0.0
20160118:0609,37.61,162.05,13.14,8.45,8.21,0.0
20160118:0709,92.34,365.73,23.31,9.51,8.87,0.0
20160118:0809,141.21,553.84,31.68,10.58,9.53,0.0
20160118:0909,187.26,737.46,37.37,11.64,10.19,0.0
20160118:1009,209.62,830.23,39.45,12.42,10.42,0.0
20160118:1109,211.15,839.21,37.48,13.21,10.65,0.0
20160118:1209,190.89,757.76,31.89,13.99,10.88,0.0
20160118:1309,137.69,547.34,23.58,13.61,10.49,0.0
20160118:1409,51.5,220.25,13.45,13.23,10.09,0.0
20160118:1509,0.0,0.0,0.0,12.85,9.7,0.0
20160118:1609,0.0,0.0,0.0,12.29,8.85,0.0
20160118:1709,0.0,0.0,0.0,11.73,8.0,0.0
20160118:1809,0.0,0.0,0.0,11.18,7.16,0.0
20160118:1909,0.0,0.0,0.0,10.72,7.21,0.0
20160118:2009,0.0,0.0,0.0,10.27,7.26,0.0
20160118:2109,0.0,0.0,0.0,9.81,7.31,0.0
20160118:2209,0.0,0.0,0.0,9.55,7.22,0.0
20160118:2309,0.0,0.0,0.0,9.3,7.14,0.0
20160119:0009,0.0,0.0,0.0,9.04,7.05,0.0
20160119:0109,0.0,0.0,0.0,8.7,6.94,0.0
20160119:0209,0.0,0.0,0.0,8.36,6.83,0.0
20160119:0309,0.0,0.0,0.0,8.02,6.72,0.0
20160119:0409,0.0,0.0,0.0,7.9,6.53,0.0
20160119:0509,0.0,0.0,0.0,7.78,6.35,0.0
20160119:0609,48.13,201.43,13.21,7.66,6.17,0.0
20160119:0709,74.7,301.47,23.41,8.85,6.35,0.0
20160119:0809,129.2,503.98,31.82,10.03,6.53,0.0
20160119:0909,215.29,863.89,37.55,11.22,6.72,0.0
20160119:1009,237.87,961.81,39.65,11.98,6.49,0.0
20160119:1109,227.47,922.79,37.7,12.75,6.27,0.0
20160119:1209,195.43,787.83,32.1,13.52,6.04,0.0
20160119:1309,142.95,574.06,23.78,13.18,5.64,0.0
20160119:1409,59.61,253.41,13.64,12.84,5.24,0.0
