time,P,G(i),H_sun,T2m,WS10m,Int
20160114:2009,0.0,0.0,0.0,10.27,3.6,0.0
20160114:2109,0.0,0.0,0.0,10.0,3.66,0.0
20160114:2209,0.0,0.0,0.0,9.99,3.5,0.0
20160114:2309,0.0,0.0,0.0,9.98,3.34,0.0
20160115:0009,0.0,0.0,0.0,9.97,3.19,0.0
20160115:0109,0.0,0.0,0.0,9.81,2.94,0.0
20160115:0209,0.0,0.0,0.0,9.66,2.7,0.0
20160115:0309,0.0,0.0,0.0,9.5,2.46,0.0
20160115:0409,0.0,0.0,0.0,10.02,1.78,0.0
20160115:0509,1.01,12.8,4.24,10.54,1.11,0.0
20160115:0609,74.7,316.94,14.79,11.05,0.44,0.0
20160115:0709,132.85,548.77,23.95,12.26,0.8,0.0
20160115:0809,175.66,736.21,31.05,13.47,1.17,0.0
20160115:0909,199.79,849.48,35.24,14.68,1.53,0.0
20160115:1009,209.46,891.34,35.85,14.87,1.86,0.0
20160115:1109,198.79,837.3,32.76,15.07,2.18,0.0
20160115:1209,173.4,719.85,26.51,15.27,2.51,0.0
20160115:1309,126.42,519.25,17.93,14.28,2.33,0.0
20160115:1409,53.66,233.04,7.76,13.3,2.15,0.0
20160115:1509,0.0,0.0,0.0,12.31,1.97,0.0
20160115:1609,0.0,0.0,0.0,11.76,1.96,0.0
20160115:1709,0.0,0.0,0.0,11.22,1.94,0.0
20160115:1809,0.0,0.0,0.0,10.67,1.93,0.0
20160115:1909,0.0,0.0,0.0,10.29,1.8,0.0
20160115:2009,0.0,0.0,0.0,9.92,1.67,0.0
20160115:2109,0.0,0.0,0.0,9.54,1.54,0.0
20160115:2209,0.0,0.0,0.0,9.38,1.62,0.0
20160115:2309,0.0,0.0,0.0,9.23,1.69,0.0
20160116:0009,0.0,0.0,0.0,9.07,1.77,0.0
20160116:0109,0.0,0.0,0.0,8.82,1.99,0.0
20160116:0209,0.0,0.0,0.0,8.57,2.21,0.0
20160116:0309,0.0,0.0,0.0,8.32,2.43,0.0
20160116:0409,0.0,0.0,0.0,8.7,2.38,0.0
20160116:0509,1.02,12.8,4.29,9.08,2.34,0.0
20160116:0609,41.35,178.96,14.86,9.46,2.29,0.0
20160116:0709,132.5,536.7,24.06,11.23,2.22,0.0
20160116:0809,173.77,716.65,31.18,13.0,2.15,0.0
20160116:0909,200.46,844.93,35.41,14.77,2.08,0.0
20160116:1009,208.24,889.75,36.04,15.23,1.69,0.0
20160116:1109,195.97,839.48,32.96,15.7,1.29,0.0
20160116:1209,168.02,715.23,26.71,16.17,0.9,0.0
20160116:1309,124.59,519.2,18.12,15.52,1.37,0.0
20160116:1409,52.97,231.92,7.94,14.86,1.85,0.0
20160116:1509,0.0,0.0,0.0,14.21,2.33,0.0
20160116:1609,0.0,0.0,0.0,13.49,2.54,0.0
20160116:1709,0.0,0.0,0.0,12.77,2.74,0.0
20160116:1809,0.0,0.0,0.0,12.05,2.95,0.0
20160116:1909,0.0,0.0,0.0,11.37,3.01,0.0
20160116:2009,0.0,0.0,0.0,10.69,3.07,0.0
20160116:2109,0.0,0.0,0.0,10.01,3.13,0.0
20160116:2209,0.0,0.0,0.0,9.66,3.34,0.0
20160116:2309,0.0,0.0,0.0,9.32,3.54,0.0
20160117:0009,0.0,0.0,0.0,8.97,3.75,0.0
20160117:0109,0.0,0.0,0.0,8.69,4.02,0.0
20160117:0209,0.0,0.0,0.0,8.4,4.29,0.0
20160117:0309,0.0,0.0,0.0,8.12,4.57,0.0
20160117:0409,0.0,0.0,0.0,8.52,4.54,0.0
20160117:0509,0.0,5.49,4.34,8.93,4.52,0.0
20160117:0609,69.56,288.45,14.94,9.33,4.5,0.0
20160117:0709,134.12,535.62,24.17,11.18,4.41,0.0
20160117:0809,172.85,699.04,31.33,13.03,4.32,0.0
20160117:0909,176.74,725.74,35.59,14.88,4.23,0.0
20160117:1009,210.23,873.21,36.24,15.62,4.06,0.0
20160117:1109,167.57,691.56,33.17,16.37,3.88,0.0
20160117:1209,158.93,654.04,26.91,17.12,3.7,0.0
20160117:1309,30.51,138.99,18.32,16.27,3.58,0.0
20160117:1409,17.56,87.98,8.13,15.43,3.46,0.0
20160117:1509,0.0,0.0,0.0,14.58,3.34,0.0
20160117:1609,0.0,0.0,0.0,14.14,3.46,0.0
20160117:1709,0.0,0.0,0.0,13.7,3.58,0.0
20160117:1809,0.0,0.0,0.0,13.26,3.7,0.0
20160117:1909,0.0,0.0,0.0,12.97,3.93,0.0
20160117:2009,0.0,0.0,0.0,12.69,4.17,0.0
20160117:2109,0.0,0.0,0.0,12.4,4.4,0.0
20160117:2209,0.0,0.0,0.0,12.32,4.98,0.0
20160117:2309,0.0,0.0,0.0,12.23,5.56,0.0
20160118:0009,0.0,0.0,0.0,12.15,6.14,0.0
20160118:0109,0.0,0.0,0.0,11.52,6.37,0.0
20160118:0209,0.0,0.0,0.0,10.88,6.61,0.0
20160118:0309,0.0,0.0,0.0,10.25,6.84,0.0
20160118:0409,0.0,0.0,0.0,10.24,7.21,0.0
20160118:0509,0.0,0.91,4.4,10.24,7.59,0.0
20160118:0609,25.62,117.74,15.03,10.23,7.96,0.0
20160118:0709,119.49,471.3,24.28,11.2,8.73,0.0
20160118:0809,33.29,147.15,31.48,12.18,9.5,0.0
20160118:0909,93.26,373.51,35.77,13.15,10.28,0.0
20160118:1009,71.13,290.07,36.45,13.23,10.31,0.0
20160118:1109,9.76,54.25,33.38,13.32,10.35,0.0
20160118:1209,9.31,52.34,27.12,13.41,10.39,0.0
20160118:1309,25.28,115.9,18.51,12.36,9.98,0.0
20160118:1409,0.36,8.57,8.31,11.32,9.57,0.0
20160118:1509,0.0,0.0,0.0,10.27,9.16,0.0
20160118:1609,0.0,0.0,0.0,9.73,9.0,0.0
20160118:1709,0.0,0.0,0.0,9.2,8.85,0.0
20160118:1809,0.0,0.0,0.0,8.66,8.69,0.0
20160118:1909,0.0,0.0,0.0,8.38,8.68,0.0
20160118:2009,0.0,0.0,0.0,8.1,8.66,0.0
20160118:2109,0.0,0.0,0.0,7.82,8.65,0.0
20160118:2209,0.0,0.0,0.0,7.82,8.71,0.0
20160118:2309,0.0,0.0,0.0,7.83,8.77,0.0
20160119:0009,0.0,0.0,0.0,7.83,8.83,0.0
20160119:0109,0.0,0.0,0.0,7.62,9.08,0.0
20160119:0209,0.0,0.0,0.0,7.42,9.32,0.0
20160119:0309,0.0,0.0,0.0,7.21,9.57,0.0
20160119:0409,0.0,0.0,0.0,7.71,9.33,0.0
20160119:0509,0.0,1.83,4.47,8.21,9.09,0.0
20160119:0609,52.49,221.07,15.12,8.7,8.86,0.0
20160119:0709,97.9,388.99,24.4,10.0,8.89,0.0
20160119:0809,174.97,685.96,31.63,11.3,8.93,0.0
20160119:0909,138.15,547.05,35.96,12.6,8.97,0.0
20160119:1009,215.72,859.33,36.66,12.77,8.76,0.0
20160119:1109,112.1,448.17,33.6,12.95,8.56,0.0
20160119:1209,28.72,130.39,27.34,13.13,8.36,0.0
20160119:1309,51.18,214.28,18.72,12.07,7.77,0.0
20160119:1409,14.02,72.65,8.5,11.02,7.19,0.0
20160119:1509,0.0,0.0,0.0,9.96,6.61,0.0
